CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
310.9973,235.2393,310.9825,237.9006,315.9083,237.5549,309.9675,239.4039,15938,-0.014789,2.661229,-5.940768,1.848951,0
317.6893,237.892,315.0266,237.6064,312.5805,240.3923,289.1695,249.6254,13978,-2.662671,-0.285519,-23.41105,9.233056,0
378.3734,238.4213,375.8298,238.6429,382.4994,236.1037,388.072,237.9836,19110,-2.543672,0.221555,5.572634,1.879883,0
322.7584,243.3294,324.5042,242.1381,325.8419,243.8374,340.7043,243.6009,14340,1.745867,-1.191303,14.8624,-0.236455,1
314.5161,244.9822,316.3347,244.4598,318.5922,241.5508,324.8522,238.6874,22627,1.81859,-0.522363,6.259998,-2.863366,0
323.251,240.2976,322.675,240.7995,326.7627,240.3414,337.3541,242.9647,15951,-0.57602,0.501924,10.59136,2.623275,1
319.1677,236.5764,322.0833,239.0184,324.1006,240.0106,332.875,246.2496,15707,2.915548,2.441993,8.774417,6.23895,0
325.3122,245.386,328.2613,242.7659,324.136,243.3436,322.7468,245.2661,15658,2.949104,-2.620152,-1.389175,1.922554,0
313.1644,243.9022,313.7798,242.1647,317.9151,243.7561,331.3479,241.5889,16401,0.615396,-1.737469,13.43276,-2.167184,0
321.0687,241.0812,318.4071,239.6163,325.6368,237.3245,332.04,233.3705,21475,-2.661631,-1.464919,6.40323,-3.95399,0
321.3022,243.4632,320.3374,244.4867,324.9077,243.3566,338.2704,242.8534,14801,-0.964781,1.023514,13.36279,-0.503203,0
321.5644,248.592,318.5617,250.353,327.3573,239.567,338.6089,226.5124,22602,-3.002664,1.761087,11.25167,-13.05454,0
317.5095,246.067,315.5089,245.2609,321.0345,249.2993,314.7549,249.8025,13477,-2.00059,-0.806161,-6.27963,0.503199,0
319.9911,241.9866,320.0227,240.4582,315.8977,242.96,299.2872,245.8932,11048,0.031559,-1.528379,-16.61052,2.933231,0
317.0273,243.4634,314.626,240.6859,319.9728,243.5996,334.3294,241.4733,15907,-2.401351,-2.777508,14.35661,-2.126312,0
322.8841,244.5484,321.7836,243.1214,319.5815,245.6575,303.3983,248.1466,10729,-1.100513,-1.427008,-16.18319,2.489116,0
307.0795,250.0419,306.5388,247.2453,315.3988,239.1521,300.6183,240.6343,14424,-0.54065,-2.7966,-14.78056,1.482173,0
321.9575,240.8004,324.8042,242.9232,324.3275,238.8645,327.894,245.0502,15802,2.846678,2.122779,3.566489,6.185782,0
319.3366,244.1318,321.1599,240.9358,328.1436,236.3936,333.7453,228.4694,21396,1.823328,-3.196046,5.601667,-7.924219,0
318.5831,242.6908,318.9442,242.3739,321.4962,239.1552,323.2481,241.4553,20061,0.361071,-0.316924,1.75188,2.30002,0
317.9777,238.4826,317.8681,237.045,321.9415,235.3393,328.8295,233.0879,23549,-0.109591,-1.437599,6.888043,-2.251424,0
317.8365,248.7517,317.5266,246.3449,326.2513,240.899,336.8538,240.3742,19927,-0.30987,-2.406782,10.60241,-0.52479,0
314.6147,241.5257,312.5176,240.8076,317.0831,243.7695,305.2701,245.3405,16992,-2.097084,-0.718117,-11.81296,1.570968,0
310.8025,250.0226,310.852,247.0623,319.7839,240.071,311.2042,243.8104,15066,0.049482,-2.960332,-8.579739,3.739324,1
322.2886,242.6488,321.9375,243.7685,319.523,243.6876,309.6416,249.7473,11760,-0.351079,1.11972,-9.881388,6.059722,0
319.8821,243.5214,321.9386,241.1807,327.825,233.0389,338.5351,222.5721,19895,2.056463,-2.340696,10.7101,-10.46686,0
317.3997,240.9525,316.3048,239.0871,322.1322,238.63,343.225,238.7086,11673,-1.09481,-1.865337,21.0928,0.078615,0
311.7403,242.292,309.9149,242.2374,315.2057,244.8748,309.1987,248.476,16878,-1.82541,-0.054664,-6.007021,3.601204,0
318.0243,245.8506,319.527,243.8846,320.4938,244.7068,321.6568,249.6774,15914,1.502737,-1.966018,1.163066,4.970589,0
